y_Медианный доход по району	Широта	Долгота	Медианная стоимость дома в районе	Средний возраст населения	Всего номеров в районе	Население района	Всего домохозяйств в районе	Всего спален в районе
1.8426	37.76	-122.17	94800	40	1685	949	342	343
2.4598	37.76	-122.16	155500	36	2781	1438	519	574
6.0749	37.76	-122.15	196900	39	1823	763	270	286
4.8304	37.77	-122.14	279100	27	2229	1297	355	365
5.5701	37.76	-122.14	252800	34	1513	545	211	231
5.3700	37.76	-122.13	275400	26	3266	1222	533	491
6.8600	37.75	-122.12	250000	33	1809	808	219	261
4.0313	37.75	-122.14	195500	36	690	299	109	105
6.8323	37.75	-122.14	255900	33	1334	579	202	200
4.9750	37.75	-122.13	311100	30	414	137	50	54
5.0000	37.74	-122.13	248900	41	4400	1476	648	666
3.8913	37.75	-122.15	126300	40	1445	849	255	256
3.1458	37.74	-122.15	130600	41	856	571	191	178
2.5370	37.75	-122.16	107900	24	1790	1137	386	454
1.8235	37.75	-122.16	95200	40	1227	928	261	294
3.8047	37.75	-122.16	94300	35	667	406	133	140
2.2917	37.74	-122.17	92500	34	1223	824	280	281
2.4962	37.75	-122.17	91800	37	1379	835	259	287
3.5125	37.90	-122.30	224200	38	2263	1027	509	522
3.0208	37.89	-122.30	206300	36	1077	518	276	293
1.7778	37.87	-122.27	268800	30	1465	862	425	439
2.5200	37.88	-122.27	277800	37	2619	1152	616	682
1.7464	37.87	-122.27	216700	35	3218	1675	1000	1108
2.2845	37.86	-122.28	153100	41	2214	1213	568	550
2.2106	37.84	-122.29	132500	35	1872	1017	414	419
2.5444	37.79	-122.28	275000	30	4145	3668	855	869
3.7500	37.77	-122.28	242800	27	3997	1901	966	1073
5.1702	37.76	-122.29	265400	18	2873	1243	663	763
4.8711	37.75	-122.24	286600	27	4051	1499	797	753
4.4562	37.74	-122.25	206200	25	1914	897	390	365
3.1972	37.75	-122.28	100000	20	1156	583	326	365
4.6350	37.71	-122.06	248600	36	3541	1478	529	570
5.3015	37.71	-122.07	254900	40	1808	746	270	302
4.9801	37.71	-122.07	241500	36	2879	1235	455	480
5.4834	37.72	-122.07	295200	26	3204	1411	484	477
5.6194	37.72	-122.08	274700	32	2476	1048	367	368
5.4639	37.71	-122.08	238600	35	2211	1004	365	350
5.1498	37.71	-122.09	266400	35	2663	1086	367	387
4.6500	37.71	-122.11	206800	36	4569	1950	819	824
4.3819	37.70	-122.10	209200	25	2973	1413	595	622
3.7222	37.69	-122.10	195800	30	3115	1444	568	625
5.2855	37.71	-122.09	253500	31	1843	749	269	282
4.3375	37.70	-122.09	241800	31	2053	867	329	336
6.0050	37.70	-122.09	263900	30	1751	731	263	269
5.0519	37.71	-122.08	227000	38	1663	781	301	295
4.8237	37.71	-122.08	220900	38	3716	1784	652	657
5.2497	37.70	-122.08	259300	32	2718	1156	410	447
4.1250	37.70	-122.07	232500	39	1420	645	277	272
4.6005	37.70	-122.06	231600	37	1893	821	315	310
3.5187	37.70	-122.06	209400	33	3906	1912	770	790
3.0000	37.70	-122.07	223200	32	3400	1487	694	736
3.4934	37.70	-122.08	209900	25	3402	1645	710	758
2.9861	37.70	-122.09	208200	33	4413	2239	1051	1107
2.5362	37.69	-122.07	203800	29	2304	1021	552	618
3.3021	37.69	-122.08	195700	36	2350	1105	467	499
2.3958	37.68	-122.08	190800	37	848	314	205	202
4.8036	37.69	-122.09	188300	20	4296	1732	800	817
3.2440	37.71	-122.17	179800	38	890	481	198	200
4.0268	37.70	-122.18	205500	36	2639	1209	519	533
3.3906	37.70	-122.18	178900	35	2562	1398	525	554
5.5461	37.71	-122.19	262500	36	361	158	58	69
2.8750	37.72	-122.16	144800	38	1007	618	239	245
4.5553	37.71	-122.16	191000	37	1507	632	253	242
3.4643	37.71	-122.16	175000	36	666	366	134	132
2.1898	37.73	-122.15	141700	28	2215	830	573	587
2.9097	37.72	-122.15	210900	31	1616	739	379	372
2.8125	37.72	-122.15	157400	29	4169	2024	962	1047
3.0673	37.73	-122.14	218400	38	1723	711	353	394
3.8393	37.72	-122.13	243500	35	2183	976	392	383
4.0000	37.71	-122.12	167900	35	1037	552	210	207
3.5156	37.72	-122.14	218900	39	786	288	132	132
2.6101	37.71	-122.14	181700	27	3094	1364	789	866
3.6932	37.71	-122.14	166800	18	3905	2197	1044	1007
3.9032	37.70	-122.13	218000	19	3516	1810	703	710
4.0208	37.71	-122.15	191500	36	998	531	183	178
3.5547	37.70	-122.15	194700	36	1464	672	261	244
4.5859	37.70	-122.14	187200	17	1463	695	330	292
2.6321	37.70	-122.13	223100	21	4124	2162	998	1054
3.3950	37.69	-122.13	271300	17	2380	1216	643	769
3.9702	37.70	-122.14	194100	36	1266	606	239	228
5.0043	37.70	-122.16	190400	36	2239	1203	379	391
4.4659	37.69	-122.14	189100	38	1571	874	301	317
3.6625	37.69	-122.15	184600	38	1246	637	222	221
3.8864	37.69	-122.15	197300	36	1501	703	276	287
3.4583	37.70	-122.15	192600	36	1468	733	229	252
3.7813	37.69	-122.16	192200	36	1118	625	228	219
2.9917	37.70	-122.16	194600	36	1097	568	225	208
4.4375	37.70	-122.16	193500	36	1719	836	311	303
4.0000	37.70	-122.17	202600	24	1755	952	362	365
4.7609	37.69	-122.17	212600	24	2262	1125	366	391
4.3971	37.69	-122.16	205700	36	1480	796	283	278
4.0109	37.69	-122.15	192900	36	1545	863	267	273
4.3864	37.68	-122.15	205200	35	2632	1349	486	447
4.2841	37.68	-122.15	213400	30	2261	929	383	443
5.1312	37.69	-122.15	183600	39	1670	957	335	308
2.9958	37.69	-122.14	178400	37	2141	1093	555	535
3.6364	37.68	-122.14	219200	27	3337	1489	607	613
2.7955	37.68	-122.14	183100	31	3184	1561	628	716
3.4375	37.69	-122.12	157800	30	1197	695	279	269
2.8750	37.69	-122.13	161700	34	1131	560	237	278
3.0345	37.71	-122.12	152100	38	1164	632	289	284
2.6790	37.70	-122.12	144900	41	3495	1849	750	787
2.9922	37.70	-122.12	179900	17	2488	1287	538	617
4.1042	37.69	-122.12	179100	35	2681	1580	536	508
2.5833	37.70	-122.12	159900	19	2495	1571	579	635
2.1552	37.70	-122.11	161400	23	1689	828	443	461
2.3274	37.70	-122.11	170400	29	1298	835	338	306
2.4206	37.70	-122.11	137500	19	2693	1765	724	789
3.9063	37.69	-122.10	178400	41	746	387	161	145
2.6464	37.69	-122.11	155200	37	2444	1562	618	651
4.7813	37.63	-122.04	241900	21	1307	586	249	236
3.2500	37.68	-122.07	218100	36	1815	1280	431	426
2.4196	37.68	-122.08	275000	26	1167	253	137	370
2.6563	37.68	-122.08	184100	26	2607	1401	607	682
0.9637	37.67	-122.08	160000	29	493	233	152	168
3.5114	37.68	-122.09	197500	41	1382	704	314	353
2.4042	37.68	-122.09	205600	29	2333	1120	540	538
2.8322	37.68	-122.09	170300	41	1834	1105	467	463
3.4032	37.68	-122.10	196900	37	1352	691	324	342
2.5350	37.68	-122.10	174000	37	2116	1109	448	503
2.5772	37.68	-122.11	170200	37	1976	1197	465	481
3.0962	37.68	-122.10	180900	38	1779	1061	400	413
2.9564	37.67	-122.10	150500	34	3659	2479	903	897
3.1250	37.68	-122.10	167100	31	1892	1162	389	428
2.9500	37.68	-122.12	148900	35	1958	1146	448	484
4.3800	37.68	-122.12	196400	40	1553	724	267	253
4.0417	37.68	-122.12	191100	37	2412	975	375	394
3.8000	37.67	-122.11	187500	36	2110	952	370	389
4.2670	37.68	-122.14	210300	35	2976	1424	538	518
4.2386	37.67	-122.14	192300	34	3036	1366	500	533
5.5797	37.67	-122.15	198100	35	2472	1171	390	398
4.0682	37.67	-122.14	196200	36	1487	641	243	249
3.1734	37.67	-122.13	181600	38	2012	880	332	347
4.7933	37.67	-122.14	186900	37	3342	1635	557	569
4.8125	37.67	-122.14	188300	37	3156	1495	543	534
3.8676	37.67	-122.13	184000	40	1748	914	317	318
3.9395	37.67	-122.12	184700	33	3429	1798	694	681
3.0917	37.67	-122.11	167200	38	1035	599	224	247
3.0645	37.67	-122.11	165400	32	3028	2037	703	811
2.7019	37.67	-122.09	154000	33	2431	1854	603	655
3.1115	37.67	-122.09	153500	39	2069	1408	478	500
3.4722	37.66	-122.09	135400	40	1340	766	271	313
2.2222	37.66	-122.09	158300	39	1160	725	274	259
6.1104	37.68	-122.05	240700	32	2015	1019	340	318
4.2733	37.67	-122.06	180700	22	3882	1830	743	816
3.2465	37.67	-122.07	230600	27	3239	1469	616	671
3.2417	37.67	-122.07	210800	28	2932	1198	624	739
3.8750	37.67	-122.07	165300	38	2104	1039	394	409
6.0501	37.67	-122.04	254200	29	1694	690	242	251
2.6719	37.66	-122.07	161200	28	2280	1255	587	610
2.5625	37.66	-122.08	154300	33	1547	1063	356	372
3.0160	37.65	-122.07	161800	31	3300	2181	740	790
3.6818	37.65	-122.08	165400	35	1813	1093	374	393
2.1382	37.66	-122.08	166600	37	1997	1349	437	436
3.7303	37.66	-122.10	149700	37	901	599	206	191
3.8750	37.66	-122.10	162100	35	686	480	149	142
3.0489	37.66	-122.10	152600	33	1954	1293	448	464
2.8203	37.65	-122.09	195200	27	2630	1414	634	722
4.3897	37.65	-122.09	190600	35	1130	543	184	192
4.7143	37.65	-122.09	193800	35	1184	572	194	200
4.6875	37.66	-122.10	200600	34	656	342	112	115
3.2091	37.66	-122.11	150000	29	2544	2332	603	643
4.2750	37.66	-122.10	185300	36	1305	768	234	225
4.1302	37.66	-122.11	172700	36	1755	913	299	316
3.0900	37.66	-122.11	174100	35	2843	1726	643	652
4.5417	37.65	-122.10	194400	25	2538	1185	501	494
4.6635	37.64	-122.10	206700	28	1784	735	278	311
4.4427	37.65	-122.10	204500	31	1797	796	319	327
4.5303	37.65	-122.10	175000	36	410	252	82	76
2.3750	37.65	-122.12	137500	26	162	86	25	27
4.5281	37.61	-122.10	173600	35	2361	1727	467	458
4.3456	37.66	-122.13	163000	19	862	407	183	167
5.2312	37.64	-122.11	197600	31	1487	854	301	280
3.8875	37.64	-122.12	228100	40	432	264	77	102
3.9167	37.63	-122.09	189500	34	1457	735	249	242
3.9063	37.64	-122.09	184200	32	1578	836	292	284
3.7895	37.63	-122.10	180900	29	2172	1377	408	435
3.8000	37.64	-122.08	172000	36	1340	789	248	245
5.7309	37.64	-122.08	177900	36	1116	662	226	199
4.1141	37.64	-122.09	173100	36	1885	853	271	307
5.2838	37.64	-122.09	172600	36	1180	664	200	212
3.1420	37.64	-122.08	179500	23	1897	1109	418	440
3.7614	37.63	-122.08	176000	31	767	548	185	171
4.2500	37.63	-122.08	192600	33	691	431	149	127
3.9338	37.64	-122.08	182700	36	786	463	160	133
2.4808	37.63	-122.07	157600	27	2784	2028	693	723
4.7083	37.64	-122.07	190900	25	4524	2426	862	860
4.1652	37.64	-122.06	158200	37	1468	1038	282	304
3.8036	37.65	-122.06	158200	33	1227	848	291	286
3.8259	37.64	-122.06	146100	33	1160	729	220	252
3.2331	37.63	-122.04	226700	33	952	369	159	172
4.7109	37.62	-122.03	198700	35	2072	1001	350	352
4.2468	37.62	-122.03	221200	32	2964	1472	527	547
6.3960	37.62	-122.04	208500	35	1032	453	176	173
3.8125	37.62	-122.04	204200	35	657	328	134	118
3.2857	37.62	-122.04	193200	32	1540	793	302	324
3.8929	37.62	-122.03	209500	35	1298	632	204	236
3.7262	37.61	-122.03	164900	36	1409	1002	281	271
4.0125	37.61	-122.03	161400	37	1383	808	241	259
4.1719	37.61	-122.04	187000	36	1151	727	215	216
4.2857	37.62	-122.04	190400	35	899	455	185	179
3.6458	37.63	-122.08	156600	37	1793	1534	346	364
2.6875	37.62	-122.08	157300	17	2485	1139	550	518
3.7292	37.63	-122.07	168100	35	1931	1175	337	376
4.5913	37.63	-122.07	177600	24	2329	1401	453	465
3.3611	37.63	-122.06	169200	23	1939	841	364	356
2.8971	37.61	-122.05	163900	16	1642	705	351	346
4.0326	37.63	-122.08	164700	34	1619	1148	310	293
4.0682	37.63	-122.08	156900	35	517	391	107	108
5.3644	37.63	-122.09	168800	36	1570	992	249	274
4.7019	37.63	-122.09	174100	35	1213	790	243	221
5.6400	37.62	-122.08	206500	27	1826	1016	313	309
3.7931	37.61	-122.08	203900	26	2261	1039	395	443
3.6940	37.60	-122.02	159600	36	1633	1382	338	345
2.6520	37.60	-122.02	159800	31	2155	1858	437	522
3.5000	37.60	-122.02	154300	32	1295	1156	300	280
3.2386	37.60	-122.02	149600	32	1295	1097	328	295
5.0970	37.61	-122.03	188600	33	1518	831	268	302
4.3875	37.60	-122.04	238500	17	3314	1873	602	638
4.6250	37.60	-122.06	235300	22	3009	1640	514	497
5.3226	37.60	-122.06	231700	18	1726	1186	310	276
4.2350	37.59	-122.08	156300	16	1816	1367	355	365
6.5116	37.58	-122.07	244300	16	1644	1033	267	251
6.0661	37.58	-122.07	247000	16	1606	1117	268	240
6.0074	37.58	-122.08	236500	16	3349	2003	488	544
5.2250	37.58	-122.07	213700	16	1893	1461	344	338
4.5721	37.60	-122.03	214700	24	2077	1488	389	383
3.6923	37.59	-122.02	213200	18	1165	855	319	333
4.6786	37.59	-122.03	256000	16	4371	2530	817	889
5.7579	37.58	-122.01	231800	17	4313	2629	721	717
2.9706	37.60	-122.09	147900	36	385	295	92	94
4.6146	37.57	-121.97	247600	21	4342	2172	789	783
3.6832	37.58	-121.98	216900	20	4126	2079	975	1031
6.2073	37.58	-121.99	282500	31	2878	1276	485	478
4.3594	37.56	-122.02	223400	23	4332	2461	829	857
5.5737	37.56	-122.02	214500	35	1716	914	316	312
4.8962	37.56	-122.03	220200	31	4981	2841	924	964
3.3008	37.55	-122.01	224200	26	2068	1434	495	532
4.5687	37.55	-122.02	177200	33	1325	909	267	274
3.8179	37.56	-122.01	216100	24	2563	1174	501	485
4.6349	37.54	-121.97	196200	31	1949	986	322	344
3.1680	37.55	-121.97	189400	17	4924	3080	1182	1247
6.2179	37.54	-121.94	305300	27	3715	1631	538	526
5.7610	37.53	-121.94	259600	33	2095	941	304	342
4.6641	37.54	-121.95	248900	29	3517	1724	585	645
4.2955	37.53	-121.96	218800	23	2215	1278	492	475
4.9615	37.53	-121.96	228000	28	2949	1538	545	529
2.6198	37.53	-121.96	235900	18	2375	1252	586	652
4.7135	37.54	-121.97	203200	28	2312	1344	467	496
4.7500	37.53	-121.97	197000	35	2277	1353	413	420
5.4299	37.53	-121.97	236400	26	2506	1273	406	387
4.6000	37.53	-121.98	223200	28	2829	1610	540	566
4.1947	37.53	-121.98	222700	26	3179	2142	639	703
5.3880	37.54	-121.99	225000	26	2332	1285	404	371
3.9444	37.54	-121.99	240100	18	3584	1673	661	715
5.3283	37.54	-121.99	227900	28	3046	1772	516	507
4.8403	37.55	-121.99	268600	28	2414	1106	453	415
5.1616	37.54	-122.00	275100	29	4133	2023	749	744
4.9167	37.55	-122.01	256300	34	2791	1276	468	495
5.0000	37.54	-122.01	287600	32	2572	1128	395	406
5.8325	37.54	-122.00	298900	26	1910	852	357	371
5.7057	37.53	-122.01	287600	27	1890	889	314	303
4.5317	37.52	-121.97	232600	26	3761	1776	613	623
5.4359	37.51	-121.97	258300	25	3333	1671	504	511
5.0824	37.52	-121.97	230900	23	4925	2530	894	948
5.2308	37.52	-121.95	196900	33	3994	2721	763	764
5.2396	37.52	-121.96	223900	26	4211	2352	734	741
5.3813	37.48	-121.92	264400	23	4314	1972	623	676
6.0878	37.47	-121.92	246900	26	2016	1105	357	322
4.9118	37.55	-122.03	217300	26	3087	1597	483	532
4.4357	37.55	-122.04	291700	23	3170	1446	515	532
4.9464	37.54	-122.04	223800	26	2145	1285	377	369
5.2882	37.54	-122.05	223100	25	4209	2568	703	731
5.1321	37.55	-122.05	211300	23	4247	2357	823	835
3.9667	37.53	-122.04	218500	25	4458	2998	890	922
3.1696	37.50	-122.04	156300	17	407	307	100	97
4.8214	37.54	-122.03	186000	35	1867	1213	338	343
3.7364	37.53	-122.04	190400	34	2316	1524	467	478
3.5350	37.54	-122.02	210300	31	1240	719	236	264
5.0739	37.54	-122.03	208000	16	4458	3038	870	856
3.2560	37.53	-122.03	183300	18	1746	1268	404	437
6.0667	37.53	-122.01	245700	19	4572	2346	709	712
5.7072	37.53	-122.02	242200	21	4280	2216	681	673
5.3470	37.72	-121.92	219500	22	4638	2302	687	716
5.7233	37.71	-121.91	231800	25	4377	2038	671	668
4.4697	37.72	-121.93	221300	26	3816	1935	642	637
4.9107	37.72	-121.93	213800	26	2806	1453	444	459
4.2281	37.71	-121.93	206000	26	4822	2288	805	845
7.2211	37.68	-121.92	291900	23	1655	706	219	223
5.9345	37.69	-121.91	259600	23	2179	926	299	308
6.1770	37.68	-121.91	262900	20	1804	831	260	254
5.8170	37.68	-121.91	257300	18	3631	1700	520	547
6.3132	37.69	-121.91	259200	18	2876	1395	427	423
6.5214	37.67	-121.88	311500	16	4070	1543	577	624
6.4524	37.67	-121.88	296900	25	2244	937	324	301
6.0604	37.67	-121.89	247900	20	2948	1181	474	471
6.5285	37.67	-121.89	300400	19	2034	852	295	288
3.1127	37.66	-121.88	233000	29	2702	1360	642	680
2.4896	37.66	-121.87	238500	39	522	161	102	116
4.9879	37.67	-121.87	229400	28	1812	853	278	294
4.1597	37.66	-121.86	293200	22	3634	1699	640	664
5.7519	37.66	-121.87	278500	27	1569	583	214	242
4.2083	37.77	-121.61	125000	32	404	144	58	74
5.4324	37.69	-121.80	215500	17	3956	2222	662	639
3.3841	37.69	-121.76	184400	29	3433	1919	709	711
3.5532	37.68	-121.77	158400	36	1687	950	372	372
3.3618	37.69	-121.78	174600	34	2358	1157	461	498
4.3533	37.69	-121.78	168400	35	2853	1761	572	588
3.7212	37.69	-121.75	183800	26	2647	1422	522	536
5.2443	37.68	-121.75	183400	35	1755	702	263	299
4.2361	37.68	-121.76	177500	35	1864	1189	349	357
3.1856	37.68	-121.76	186900	32	1078	555	197	207
3.0222	37.68	-121.78	172500	17	3112	1392	680	872
4.6806	37.68	-121.77	209400	41	1501	629	288	299
5.2649	37.67	-121.78	199800	26	2211	1024	321	344
6.0797	37.67	-121.79	211000	26	2163	947	346	339
4.8571	37.67	-121.78	201100	28	1773	804	269	278
3.8523	37.66	-121.78	193000	25	1947	900	354	418
2.4500	38.69	-119.78	117600	17	1364	338	152	282
3.1500	38.52	-120.00	140600	16	3045	202	102	543
3.2031	38.46	-120.55	129200	16	1443	435	181	249
2.5208	38.45	-120.55	99100	17	2277	767	356	474
2.3549	38.43	-120.55	108900	18	1564	618	277	357
3.1250	38.51	-120.80	96400	23	1001	369	157	195
3.5000	38.47	-120.76	123800	17	1521	607	240	309
2.5476	38.45	-120.88	97900	25	1374	657	288	297
3.9107	38.43	-120.79	129800	40	1391	546	214	246
2.8125	38.37	-120.87	113400	28	3998	1614	698	765
3.5508	38.34	-120.98	99100	27	3471	1793	600	653
3.2589	38.32	-120.88	103000	18	2791	1187	438	492
3.1750	38.40	-120.66	118500	18	2144	985	381	420
2.6078	38.42	-120.65	116700	23	1538	730	267	305
2.7236	38.36	-120.69	109900	19	3267	1252	566	614
4.4531	38.34	-120.71	144300	16	1257	559	213	231
3.2135	38.31	-120.80	123600	37	1341	533	242	256
3.6625	39.75	-121.87	126600	22	1707	822	297	296
3.5046	39.75	-121.86	118300	18	1651	856	293	309
2.5750	39.74	-121.83	130300	34	3263	1290	594	604
4.3309	39.75	-121.80	125200	28	2551	1011	374	378
3.2016	39.75	-121.82	97000	37	2236	974	379	372
2.0288	39.71	-121.81	116700	18	1222	708	281	250
3.7007	39.71	-121.89	139200	26	2741	1217	437	451
3.5375	39.68	-121.84	153100	38	549	275	94	105
4.7120	39.66	-121.77	158600	20	3759	1705	600	609
2.3833	39.59	-121.74	95100	24	1535	726	272	279
3.0625	39.59	-121.90	93800	20	1465	745	250	278
2.7143	39.88	-121.75	95300	16	2867	1203	449	559
2.2419	39.83	-121.58	93200	16	4591	1904	812	904
2.5670	39.79	-121.60	102900	18	2672	1151	532	533
2.6823	39.78	-121.63	93400	28	1677	770	309	327
2.1912	39.80	-121.57	115200	23	790	365	152	137
2.0458	39.78	-121.57	105700	18	2221	952	440	459
2.3068	39.77	-121.59	97300	24	1535	664	273	276
2.7863	39.79	-121.58	108600	19	2636	1184	465	523
2.0882	39.76	-121.57	104900	20	1384	557	232	257
3.1061	39.76	-121.58	110200	19	2487	1110	453	485
1.7875	39.76	-121.58	103800	18	1676	733	318	332
1.8125	39.77	-121.62	93500	23	1759	788	359	366
3.0000	39.76	-121.65	96700	31	1599	794	303	318
2.8182	39.76	-121.63	109700	22	2598	1151	490	482
1.0625	39.75	-121.62	92800	20	1173	523	258	261
2.3711	39.74	-121.64	121800	20	1808	763	335	334
3.0660	39.71	-121.71	102600	17	2748	1174	514	556
2.9625	39.66	-121.66	101200	17	3502	1763	613	655
2.4623	39.74	-121.57	126100	17	1619	705	285	292
1.9766	39.75	-121.60	92600	19	2888	984	499	591
2.8871	39.61	-121.39	94700	22	2828	986	391	610
3.9028	39.52	-121.49	93800	25	848	436	155	153
3.0446	39.50	-121.44	90800	26	1652	790	292	325
3.2174	39.49	-121.47	91800	17	1554	553	230	242
2.6921	39.51	-121.47	97500	19	3720	1304	607	636
4.5156	39.53	-121.53	91200	35	1806	683	295	293
2.4250	39.40	-121.46	96200	17	3659	1970	667	735
2.3816	38.15	-120.46	116000	16	4221	1516	697	781
2.3654	38.09	-120.56	94900	34	2745	1150	491	559
2.9063	38.07	-120.55	92200	27	1199	463	199	224
3.0000	38.09	-120.46	122600	16	3758	1777	615	715
2.9821	38.24	-120.79	90400	19	1003	538	190	235
2.0472	38.20	-120.90	93200	16	3120	1319	526	641
2.1382	38.28	-120.65	104000	21	3095	1341	546	681
2.5473	38.24	-120.72	101600	32	2685	1061	492	543
2.0417	38.19	-120.67	92600	17	2967	1387	564	611
2.7344	38.42	-120.42	91900	18	2912	999	411	663
3.0240	38.33	-120.41	100900	17	1463	529	226	338
1.6250	38.31	-120.55	94700	18	1411	592	230	312
3.2625	39.22	-122.04	92800	27	1446	670	281	295
3.1250	39.15	-122.20	108000	33	1064	434	147	174
2.1845	39.30	-121.96	112500	39	701	271	89	130
3.4402	38.03	-121.65	192400	28	3144	1095	482	694
3.6694	38.03	-121.63	209400	17	2549	1169	500	596
3.2619	38.04	-121.63	183800	25	2019	888	326	411
3.6411	37.98	-121.68	162800	19	3388	1707	575	599
3.3558	37.99	-121.71	129700	27	3861	2085	707	718
4.3750	37.99	-121.67	213500	22	1046	527	164	195
2.8828	37.94	-121.70	131100	36	1710	861	300	320
3.2813	37.96	-121.70	151400	33	2396	1391	465	452
4.7426	37.93	-121.66	263100	19	2055	1064	350	358
4.8958	37.91	-121.70	187100	17	1962	825	267	291
2.2216	37.93	-121.70	156700	19	2005	972	403	405
3.6910	37.86	-121.61	154400	30	1428	989	287	287
4.4583	37.85	-121.64	253900	22	1999	967	320	415
3.4722	38.01	-121.82	127000	25	3018	1614	568	606
4.4491	38.01	-121.78	133900	19	2688	1216	422	469
3.1728	38.01	-121.79	146800	17	4032	1749	618	814
3.6118	38.00	-121.79	124700	34	3090	1588	566	593
3.5179	38.01	-121.80	130800	37	3058	1351	523	567
4.8194	37.99	-121.81	170400	18	2807	1315	437	445
5.1435	37.99	-121.81	150800	22	2331	1086	340	359
2.8466	38.00	-121.82	113400	29	2070	985	420	452
2.9050	38.00	-121.81	97300	37	2724	1400	540	579
